gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AET01189	542771	543247	+		MTR_8g006200	hypothetical protein
AET01191	548405	549866	-		MTR_8g006220	UDP-glucosyltransferase family protein
AET01192	551212	554219	-		MTR_8g006230	UDP-glucosyltransferase family protein, putative
AET01194	560133	562423	-		MTR_8g006260	UDP-glucosyltransferase family protein
AET01195	563439	564858	-		MTR_8g006270	UDP-glucosyltransferase family protein
AET01196	566126	566864	-		MTR_8g006280	hypothetical protein
AET01197	567470	569976	+		MTR_8g006290	phosphoglycerate mutase family protein
AET01209	571944	573793	-		MTR_8g006470	myb transcription factor
AET01208	577760	581060	+		MTR_8g006450	obtusifoliol-14-demethylase
KEH17797	581870	582194	-		MTR_8g006455	transmembrane protein, putative
KEH17798	591366	592715	-		MTR_8g006495	obtusifoliol-14-demethylase
KEH17799	594282	594664	+		MTR_8g006505	hypothetical protein
KEH17800	596064	596499	-		MTR_8g006510	leguminosin group486 secreted peptide
KEH17937	1582132	1582410	+		MTR_8g007495	hypothetical protein
KEH17938	1584299	1587724	-		MTR_8g007500	MORN repeat protein
KEH17939	1591628	1591967	+		MTR_8g007510	acetylornithine aminotransferase, putative
KEH17940	1593063	1595877	-		MTR_8g007515	terpene synthase family, metal-binding domain protein
KEH17941	1601392	1606877	-		MTR_8g007520	serine carboxypeptidase-like protein
KEH17942	1638442	1639117	+		MTR_8g007540	transmembrane protein, putative
KEH17943	1641986	1642190	+		MTR_8g007545	hypothetical protein
KEH17944	1649090	1649717	+		MTR_8g007555	transmembrane protein, putative
KEH17945	1652397	1653810	+		MTR_8g007565	UDP-glucosyltransferase family protein
KEH17946	1661873	1663342	+		MTR_8g007570	Serine/Threonine kinase family protein
KEH17947	1663839	1664070	-		MTR_8g007575	hypothetical protein
KEH17948	1666459	1671618	-		MTR_8g007580	nucleoporin protein Ndc1-Nup
KEH17949	1674222	1676099	-		MTR_8g007585	UDP-glucosyltransferase family protein
KEH17950	1676613	1679383	+		MTR_8g007590	hypothetical protein
KEH17951	1680059	1680394	+		MTR_8g007595	nucleolar protein
AET01250	1945802	1946343	+		MTR_8g008920	hypothetical protein
AET01251	1948035	1950964	-		MTR_8g008930	1-aminocyclopropane-1-carboxylate oxidase-like protein
AET01252	1959764	1960164	-		MTR_8g008960	desacetoxyvindoline 4-hydroxylase, putative
